mass_Msun,mass_kg,schwarzschild_radius_km,hawking_temperature_K
1.009793095992414e-17,20079432775880.355,2.982261718133636e-17,6110235700.06439
1.038830817965072e-17,20656839165990.066,3.068019966000996e-17,5939440492.242741
1.0687035518829657e-17,21250849518127.207,3.1562442875307163e-17,5773419405.166424
1.0994353094419448e-17,21861941297660.24,3.2470055974097806e-17,5612038991.128294
1.1310507928208762e-17,22490605700005.277,3.3403768495558595e-17,5455169532.592818
1.1635754145371784e-17,23137348045447.43,3.436433095757442e-17,5302684937.9295225
1.1970353178734701e-17,23802688185318.59,3.5352515460006636e-17,5154462640.060206
1.2314573978914675e-17,24487160919852.465,3.6369116305304726e-17,5010383497.939881
1.2668693230502568e-17,25191316428057.44,3.7414950636967306e-17,4870331700.791075
1.3032995574462245e-17,25915720709950.938,3.8490859096362684e-17,4734194675.015058
1.3407773836924202e-17,26660956041508.668,3.959770649843418e-17,4601862993.705476
1.3793329264559966e-17,27427621442699.555,4.073638252684052e-17,4473230288.690737
1.418997176672323e-17,28216333158976.14,4.1907802449080835e-17,4348193165.03559
1.45980201645558e-17,29027725156614.273,4.311290785218906e-17,4226651117.93202
1.501780244725504e-17,29862449632293.23,4.4352667399578656e-17,4108506451.913785
1.544965603571243e-17,30721177537333.098,4.562807760965677e-17,3993664202.32855
1.5893928053731572e-17,31604599117003.617,4.694016365682302e-17,3882032059.0055695
1.635097560704655e-17,32513424465343.85,4.828998019550545e-17,3773520292.0566807
1.6821166070363834e-17,33448384095936.375,4.9678612207892675e-17,3668041679.7513604
1.7304877382657066e-17,34410229529092.094,5.110717587603952e-17,3565511438.408133
1.7802498350955362e-17,35399733895924.21,5.257681947905713e-17,3465847154.245225
1.831442896286522e-17,36417692559788.6,5.40887243160961e-17,3368968717.136629
1.8841080708081574e-17,37464923755598.97,5.564410565587782e-17,3274798256.21937
1.938287690914195e-17,38542269247521.49,5.724421371352365e-17,3183260077.301154
1.9940253061694203e-17,39650595005587.07,5.889033465548114e-17,3094280602.017175
2.0513657184546752e-17,40790791901755.68,6.058379163334109e-17,3007788308.688031
2.1103550179786407e-17,41963776425999.875,6.232594584738774e-17,2923713674.8305373
2.1710406203251887e-17,43170491422980.28,6.411819764073286e-17,2841989121.2754984
2.2334713045658973e-17,44411906849901.5,6.596198762490752e-17,2762548957.8477592
2.2976972524687937e-17,45689020556166.22,6.785879783782951e-17,2685329330.5642734
2.3637700888343237e-17,47002859085443.875,6.98101529350613e-17,2610268170.308443
2.431742922991403e-17,48354478500807.16,7.181762141532936e-17,2537305142.9389143
2.5016703914867458e-17,49744965233596.49,7.388281688128471e-17,2466381600.792946
2.5736087020015646e-17,51175436956690.51,7.600739933651241e-17,2397440535.54558
2.6476156785314557e-17,52647043482894.44,7.819307651984668e-17,2330426532.3861995
2.7237508078651428e-17,54160967689156.01,8.044160527804602e-17,2265285725.4762807
2.8020752874001147e-17,55718426467365.06,8.275479297795125e-17,2201965754.6518865
2.882652074332902e-17,57320671702487.46,8.513449895924138e-17,2140415723.3367338
2.965545936264236e-17,58968991278833.45,8.758263602897561e-17,2080586157.6313918
3.050823503259068e-17,60664710115255.586,9.010117199910245e-17,2022428966.546299
3.138553321403866e-17,62409191230119.46,9.269213126818843e-17,1965897403.3461819
3.2288059079040214e-17,64203836836899.09,9.535759644863148e-17,1910946027.9749978
3.321653807765378e-17,66050089471272.2,9.809971004065894e-17,1857530670.5313385
3.4171716521061e-17,67949433150634.17,1.0092067615447483e-16,1805608395.764551
3.515436218144935e-17,69903394566946.586,1.0382276228191685e-16,1755137468.5635142
3.6165264909149336e-17,71913544313896.17,1.0680830111907205e-16,1706077320.4098525
3.720523726751382e-17,73981498149333.2,1.0987969244129084e-16,1658388516.7690804
