radius_pix,dx_pix,dy_pix,offset_arcsec,line_flux,peak_channel_SNR,line_SNR
36,33,-14,2.0074262128412848,-0.0009453212729988978,,-0.299890078738276
36,35,-7,1.998815649328943,0.0036199729268722464,,1.1483862651543346
42,42,0,2.352000000000672,0.001736470007819204,,0.5508710554238876
42,41,8,2.339299040311676,-0.004377822652061872,,-1.388803592311176
42,39,16,2.3606507577367695,-0.0038863017230957465,,-1.232875386420337
42,35,23,2.345323858234326,-0.0037259061400362003,,-1.1819921095842987
42,30,30,2.3758787847874787,-0.0032526472757920862,,-1.0318572907501522
42,23,35,2.345323858234326,0.000500890183651014,,0.15890047215144734
42,16,39,2.3606507577367695,0.004463269702569496,,1.415910485424238
42,8,41,2.339299040311676,0.003049043482730006,,0.9672668078351759
42,0,42,2.352000000000672,0.0002988919978670552,,0.09481934590368231
42,-8,41,2.339299040311676,0.006909176634292611,,2.191840577438358
42,-16,39,2.3606507577367695,0.008650892834564534,,2.7443759147446696
42,-23,35,2.345323858234326,-0.0055246676656416135,,-1.7526242861288095
42,-30,30,2.3758787847874787,-0.004821162972637022,,-1.5294471676147954
42,-35,23,2.345323858234326,-0.001208229272856829,,-0.3832939997440921
42,-39,16,2.3606507577367695,-0.0007407476906610376,,-0.2349919436096237
42,-41,8,2.339299040311676,-0.001147768202675079,,-0.3641135627695964
42,-42,0,2.352000000000672,0.0007739123720547528,,0.24551297936600686
42,-41,-8,2.339299040311676,-0.0007770582490004094,,-0.24651096524856408
42,-39,-16,2.3606507577367695,-0.0011736440942290334,,-0.37232233091772154
42,-35,-23,2.345323858234326,0.00083233241869164,,0.2640459298942981
42,-30,-30,2.3758787847874787,0.003068709514312672,,0.9735055839298741
42,-23,-35,2.345323858234326,0.006302477190840996,,1.9993735833443984
42,-16,-39,2.3606507577367695,0.0015429769239000532,,0.4894880549252903
42,-8,-41,2.339299040311676,-0.0005705058779888494,,-0.18098508682447137
42,0,-42,2.352000000000672,-0.005552859753319051,,-1.7615678354118616
42,8,-41,2.339299040311676,-0.00626782153560154,,-1.9883795567892604
42,16,-39,2.3606507577367695,-0.007245076180337219,,-2.298400055352049
42,23,-35,2.345323858234326,-0.005505325551555703,,-1.7464882683728704
42,30,-30,2.3758787847874787,-0.0036173790378231244,,-1.1475633897855069
42,35,-23,2.345323858234326,-0.003120582711812557,,-0.9899616372600785
42,39,-16,2.3606507577367695,-0.0036092661735515467,,-1.1449896959792962
42,41,-8,2.339299040311676,-2.4321319668087465e-05,,-0.007715601752135788
