radius_pix,dx_pix,dy_pix,offset_arcsec,line_flux,peak_channel_flux,mask_pixels,peak_channel_SNR,line_SNR
42,30,30,2.3758787847874787,-0.0024667443,0.0014384228,112,,-0.70265025
42,23,35,2.345323858234326,1.0854856e-05,0.0013187987,112,,0.0030919975
42,16,39,2.3606507577367695,0.004092167,0.002088141,112,,1.1656507
42,8,41,2.339299040311676,0.00449788,0.0029040542,112,,1.2812178
42,0,42,2.352000000000672,0.0014029436,0.001434195,112,,0.39962745
42,-8,41,2.339299040311676,0.008328058,0.0042879665,112,,2.372241
42,-16,39,2.3606507577367695,0.008362969,0.0026044142,112,,2.3821857
42,-23,35,2.345323858234326,-0.0047780685,0.0010980144,112,,-1.3610293
42,-30,30,2.3758787847874787,-0.00566176,0.0009483373,112,,-1.6127481
42,-35,23,2.345323858234326,-0.002523698,0.0012568813,112,,-0.71887344
42,-39,16,2.3606507577367695,-0.0012064101,0.00057784695,112,,-0.343645
42,-41,8,2.339299040311676,0.00055308925,0.0024258508,112,,0.15754706
42,-42,0,2.352000000000672,-0.001411138,0.0016001576,112,,-0.4019616
42,-41,-8,2.339299040311676,-0.003524375,0.00082623225,112,,-1.0039155
42,-39,-16,2.3606507577367695,-0.00096956146,0.0024090926,112,,-0.27617887
42,-35,-23,2.345323858234326,0.00068398635,0.0015585041,112,,0.194833
42,-30,-30,2.3758787847874787,0.0025756373,0.0017412633,112,,0.7336684
42,-23,-35,2.345323858234326,0.005458733,0.0018384053,112,,1.554916
42,-16,-39,2.3606507577367695,0.0019415903,0.0015521485,112,,0.55306053
42,-8,-41,2.339299040311676,-0.0008995503,0.0013598613,112,,-0.25623623
42,0,-42,2.352000000000672,-0.006903109,0.00022996916,112,,-1.9663454
42,8,-41,2.339299040311676,-0.0077497195,0.00075021223,112,,-2.207502
42,16,-39,2.3606507577367695,-0.0074954596,0.0008558035,112,,-2.135076
42,23,-35,2.345323858234326,-0.0068937787,0.0009241886,112,,-1.9636877
42,30,-30,2.3758787847874787,-0.0042726337,0.0020696656,112,,-1.2170565
42,35,-23,2.345323858234326,-0.005342268,0.0016295644,112,,-1.521741
42,39,-16,2.3606507577367695,-0.0036191312,0.0012499242,112,,-1.0309068
42,41,-8,2.339299040311676,0.00048036873,0.002769373,112,,0.13683267
