z,score,contributing_lines
2.0175,1.031795530121979,5
2.018,1.0390929146590226,5
2.0185,1.0345255114763285,5
2.019,1.0266920464546503,5
2.0195,1.0103445064231389,5
2.02,0.9916906619198648,5
2.0204999999999997,0.9802103649682603,5
2.021,0.9629933808308697,5
2.0215,0.8498503000980207,5
2.022,0.723021270384652,5
2.0225,0.5961922406710504,5
2.023,0.6167456109924492,5
2.0235,0.6845022717487973,5
2.024,0.7522589325052762,5
2.0244999999999997,0.7523428793459831,5
2.025,0.6995602907419994,5
2.0255,0.6467777021379808,5
2.026,0.6119426165652794,5
2.0265,0.6186257203296248,5
2.027,0.6254242627491882,5
2.0275,0.634836810830011,5
2.028,0.6509147569611061,5
2.0284999999999997,0.6660963375381429,5
2.029,0.668811828909746,5
2.0295,0.6543351706260889,5
2.03,0.6416490119012562,5
2.0305,0.6210210250172028,5
2.031,0.4768901779966954,5
2.0315,0.31434071945270675,5
2.032,0.1517912609087566,5
2.0324999999999998,0.18357361756592078,5
2.033,0.26553169253380826,5
2.0335,0.3474897675017745,5
2.034,0.3588121402753926,5
2.0345,0.27975277261159825,5
2.035,0.200693404947817,5
2.0355,0.1432641401547626,5
2.036,0.063204583907337,5
2.0364999999999998,-0.023344820351456606,5
2.037,-0.1067837725695246,5
2.0375,-0.1676639737681811,5
2.038,-0.26014718956175403,5
2.0385,-0.3524584591047457,5
2.039,-0.36832177710143144,5
2.0395,-0.26803184175194505,5
2.04,-0.16774190640234013,5
2.0404999999999998,-0.05358473050990221,5
2.041,0.06119025068941561,5
2.0415,0.1711542062071283,5
2.042,0.27600755447062925,5
2.0425,0.3997385229869752,5
2.043,0.5301891755027986,5
2.0435,0.6583971927811472,5
2.044,0.7323273219605139,5
2.0444999999999998,0.8191182135714322,5
2.045,0.9006473997329215,5
2.0455,0.8740680539694907,5
2.046,0.8236745263174485,5
2.0465,0.7717025092453754,5
2.047,0.6977113787907072,5
2.0475,0.6177716032314963,5
2.048,0.5406396718459655,5
2.0484999999999998,0.5258497475651873,5
2.049,0.5422988068650879,5
2.0495,0.557338516722871,5
2.05,0.5669584141703737,5
2.0505,0.6589758336182223,5
2.051,0.7344974915936603,5
2.0515,0.7873186121015542,5
2.052,0.8331778553039526,5
2.0524999999999998,0.8595081132342752,5
2.053,0.8856495478282684,5
2.0535,0.8898281177014026,5
2.054,0.8733592336102111,5
2.0545,0.8575254020279467,5
2.0549999999999997,0.8237052672836892,5
2.0555,0.751701093950227,5
2.056,0.6983938752894759,5
2.0564999999999998,0.6354558197021581,5
2.057,0.5792506103179111,5
2.0575,0.5465910162343304,5
2.058,0.5092864019318464,5
2.0585,0.4656248439580801,5
2.059,0.42613734449521046,5
2.0595,0.3682773702158625,5
2.06,0.37376629605830697,5
2.0604999999999998,0.4131725969879356,5
2.061,0.4504839314724072,5
2.0615,0.49468095807957946,5
2.062,0.5074112000414857,5
2.0625,0.49893470910474197,5
2.0629999999999997,0.4918449896461613,5
2.0635,0.44478382265509037,5
2.064,0.4067933715155841,5
2.0645,0.386300138687313,5
2.065,0.35555269269281164,5
2.0655,0.3209892199188745,5
2.066,0.2702560092931068,5
2.0665,0.16289220057076062,5
2.067,0.0468427429625938,5
2.0675,-0.06792085373061028,5
2.068,-0.15923340906401326,5
2.0685,-0.2206471451673258,5
2.069,-0.2887052011706994,5
2.0695,-0.3173500115654099,5
2.07,-0.23656554361902515,5
2.0705,-0.1449208668296167,5
2.0709999999999997,-0.04579087898114254,5
2.0715,0.000727927813891482,5
2.072,0.02899588001712839,5
2.0725,0.05295615633083651,5
2.073,0.047630473448830396,5
2.0735,0.03300295401835572,5
2.074,0.026876995999946654,5
2.0745,0.015079786156041051,5
2.075,-0.0040213993201479005,5
2.0755,-0.03375973893065566,5
2.076,-0.08640360705670803,5
2.0765,-0.14769954105787428,5
2.077,-0.1656381428846147,5
2.0775,-0.17404809220690864,5
2.078,-0.15613716024001092,5
2.0785,-0.13020105717717265,5
2.0789999999999997,-0.11313621114279969,5
2.0795,-0.04073455363324386,5
2.08,0.023374294472293937,5
2.0805,0.09484039183451497,5
2.081,0.14538498304272288,5
2.0815,0.19462031718982414,5
2.082,0.22906104487445123,5
2.0825,0.23925917770753272,5
2.083,0.19534132551427302,5
2.0835,0.14401509073208058,5
2.084,0.099347305469435,5
2.0845,0.07903970402877897,5
2.085,0.07319018764596838,5
2.0855,0.06940863442131781,5
2.086,0.0866499207624783,5
2.0865,0.12832463968158692,5
2.0869999999999997,0.1684253047020418,5
2.0875,0.2120256295699209,5
2.088,0.25213601286941867,5
2.0885,0.29255658588498984,5
2.089,0.30624046633869983,5
2.0895,0.29667214322956353,5
2.09,0.283202086377854,5
2.0905,0.2824852053298685,5
2.091,0.35355834209407705,5
2.0915,0.4001067485044018,5
2.092,0.4454129752054255,5
2.0925,0.3404159902116146,5
2.093,0.22549568153268934,5
2.0935,0.1105753728537156,5
2.094,0.07331561657653295,5
2.0945,0.05478141302687563,5
2.0949999999999998,0.03590538693754815,5
2.0955,-0.012588581866818849,5
2.096,-0.09403371010904925,5
2.0965,-0.18252439991241123,5
2.097,-0.27515425401814325,5
2.0975,-0.34260829575457874,5
2.098,-0.37447858573351367,5
2.0985,-0.4003659834780069,5
2.0989999999999998,-0.37275683742697296,5
2.0995,-0.379999141713778,5
2.1,-0.3872414460005781,5
2.1005,-0.370828940623796,5
2.101,-0.3439370002454845,5
2.1015,-0.3102339761855964,5
2.102,-0.31015310314704475,5
2.1025,-0.3550957101249855,5
2.1029999999999998,-0.3991167391130784,5
2.1035,-0.4110078178238623,5
2.104,-0.37945826069455246,5
2.1045,-0.3429238566792563,5
2.105,-0.31374063838025745,5
2.1055,-0.327961500666012,5
2.106,-0.33968018144412004,5
2.1065,-0.35901046787927837,5
2.1069999999999998,-0.3800401229289942,5
2.1075,-0.3877618677221646,5
2.108,-0.3945640486905456,5
2.1085,-0.38598133206328766,5
2.109,-0.3955409441346975,5
2.1095,-0.4251513255058041,5
2.11,-0.4665902063671007,5
2.1105,-0.5198320183447802,5
2.1109999999999998,-0.555392386231142,5
2.1115,-0.5730848586444607,5
2.112,-0.49093355135599637,5
2.1125,-0.4344176763949493,5
2.113,-0.39238018437980177,5
2.1135,-0.3611951152128391,5
