scale_factor_a,redshift_z,radiation_term,matter_term,curvature_term,lambda_term,H_over_H0_squared,H_over_H0
0.00020180514002129244,4954.275172349377,55470097964.167175,38327799231.47688,-2259.0371871005973,0.685,93797894937.29187,306264.41996629623
0.00020327120176950495,4918.53602524537,53887049878.26219,37504466276.07389,-2226.568792739205,0.685,91391513928.4523,302310.2941159171
0.00020474791407423625,4883.054641149732,52349180029.538345,36698819625.88654,-2194.567055871734,0.685,89047997461.54283,298409.11088896537
0.00020623535430900367,4847.829160987083,50855199086.90526,35910479355.16293,-2163.0252693843604,0.685,86765676279.72792,294560.140344426
0.00020773360040942304,4812.857739090334,49403854515.18938,35139073699.47,-2131.9368225623907,0.685,84542926083.40755,290762.66280835913
0.00020924273087729212,4778.13854310398,47993929525.02404,34384238880.37743,-2101.2951997047467,0.685,82378166304.79128,287015.9687278589
0.00021076282478470378,4743.669753888094,46624242052.70828,33645618933.90751,-2071.0939787583666,0.685,80269858916.2068,283319.3585270989
0.00021229396177818903,4709.449565423012,45293643769.179214,32922865542.67009,-2041.3268299722336,0.685,78216507271.20747,279672.1424654366
0.00021383622208289018,4675.476184714702,44001019117.267105,32215637871.603573,-2011.9875145707474,0.685,76216654977.56816,276073.6404975458
0.00021538968650676424,4641.7478317008245,42745284376.42611,31523602407.24441,-1983.069883446169,0.685,74268884801.28563,272523.182135549
0.00021695443644481702,4608.262739157458,41525386754.156235,30846432800.449196,-1954.5678758698489,0.685,72371817600.72256,269020.10631312034
0.00021853055388336786,4575.019152606509,40340303503.35512,30183809712.49541,-1926.4755182219865,0.685,70524111290.06,265563.7612515307
0.00022011812140434526,4542.015330223781,39189041064.859604,29535420664.48816,-1898.786922739643,0.685,68724459831.24583,262153.50432760926
0.00022171722218961398,4509.249542747715,38070634234.45786,28900959890.001717,-1871.4962862827497,0.685,66971592253.64829,258788.70194359004
0.0002233279400253333,4476.7200733887785,36984145353.67422,28280128190.88666,-1844.5978891178502,0.685,65264271700.64799,255468.72939882093
0.00022495035930634736,4444.425217739509,35928663523.64761,27672632796.174313,-1818.086093719321,0.685,63601294502.42084,252192.97076330427
0.00022658456504060615,4412.363283685234,34903303841.445946,27078187224.01257,-1791.9553435878436,0.685,61981489274.18816,248960.81875304828
0.000228230642853621,4380.532591315376,33907206658.173363,26496511146.566605,-1766.2001620858123,0.685,60403716039.2248,245771.67460719473
0.00022988867899294998,4348.931472835455,32939536858.251965,25927330257.822674,-1740.8151512895274,0.685,58866865375.94448,242624.94796690732
0.0002315587603327172,4317.5582724797,31999483159.27098,25370376144.231106,-1715.794990857862,0.685,57369857588.3921,239520.0567559888
0.00023324097437816467,4286.411346424288,31086257431.81767,24825386158.12825,-1691.1344369171911,0.685,55911641899.49648,236456.42706320435
0.0002349354092702371,4255.489062701224,30199094038.719322,24292103293.877438,-1666.8283209623532,0.685,54491195666.45343,233433.49302628668
0.00023664215379020032,4224.78980111282,29337249193.14249,23770276066.67057,-1642.8715487733998,0.685,53107523617.62651,230450.6967175984
0.00023836129736429278,4194.3119531468155,28500000335.011353,23259658393.933334,-1619.2590993479223,0.685,51759657110.37058,227507.4880314285
0.00024009293006841138,4164.053921892089,27686645525.222187,22760009479.277832,-1595.9860238487183,0.685,50446653409.19899,224603.32457289894
0.0002418371426328308,4134.014121954996,26896502857.146404,22271093698.948235,-1573.0474445665868,0.685,49167594983.732185,221737.67154845878
0.00024359402644695763,4104.190979376291,26128909884.928314,21792680490.705555,-1550.4385538980268,0.685,47921588825.88031,218910.0016579423
0.00024536367356411867,4074.582931548663,25383223068.098816,21324544245.099506,-1528.1546133376332,0.685,46707765785.72871,216119.79498817018
0.000247146176706384,4045.1884271348677,24658817232.039,20866464199.075874,-1506.1909524849723,0.685,45525279925.60892,213366.53890806992
0.00024894162926942566,4016.005925986431,23955085043.841366,20418224331.869335,-1484.5429680657294,0.685,44373307891.85273,210649.72796529488
0.0002507501253274106,3987.033899062963,23271436503.129547,19979613263.132748,-1463.2061229669312,0.685,43251048303.74117,207968.8637843203
0.00025257175963793024,3958.2708283520383,22607298447.409225,19550424153.254665,-1442.175945286028,0.685,42157721159.17294,205323.45496599493
0.00025440662764696526,3929.715206789656,21962114071.5357,19130454605.818134,-1421.448027393645,0.685,41092567256.590805,202713.0169885269
0.00025625482549388633,3901.365538181281,21335342460.895493,18719506572.155,-1401.0180250098088,0.685,40054847632.71746,200137.07210988537
0.00025811645001649176,3873.220337123447,20726458137.910057,18317386257.950245,-1380.881656293444,0.685,39043843015.66365,197595.14927159433
