mass_Msun,mass_kg,schwarzschild_radius_km,schwarzschild_radius_AU,hawking_temperature_K,temperature_relative_to_CMB
3.354560906951786e-17,66704437266464.18,9.907156836042694e-17,6.622525300450479e-25,1839308927.7422013,674851927.2581917
3.452557276195839e-17,68653065669971.4,1.0196573372630724e-16,6.8159883057952675e-25,1787102524.656686,655697128.8411983
3.5534164011481324e-17,70658619111910.27,1.0494444598393137e-16,7.015102921777842e-25,1736377932.7460198,637086014.5830196
3.65722191113403e-17,72722760536326.84,1.0801017499110023e-16,7.2200342481947e-25,1687093092.7180684,619003152.7125549
3.764059878531854e-17,74847201466642.36,1.1116546275725996e-16,7.430952207881925e-25,1639207139.0793047,601433549.469567
3.8740188901416654e-17,77033703424799.97,1.1441292555126402e-16,7.6480316876103795e-25,1592680366.2502966,584362636.6722791
3.987190120638666e-17,79284079391863.67,1.1775525607070159e-16,7.87145268309635e-25,1547474195.6430905,567776259.6378978
4.1036674081723694e-17,81600195311285.11,1.2119522567459773e-16,8.101400448248342e-25,1503551143.6730523,551660665.4459925
4.223547332174544e-17,83983971636091.16,1.247356866813458e-16,8.33806564877436e-25,1460874790.6785405,536002491.5349626
4.346929293439848e-17,86437384921263.34,1.283795747337605e-16,8.58164452027595e-25,1419409750.7228699,520788754.62222344
4.4739155965458486e-17,88962469462635.23,1.3212991123322086e-16,8.83233903096061e-25,1379121642.2533967,506006839.93887246
4.604611534681079e-17,91561318983672.86,1.359898058449304e-16,9.09035704910808e-25,1339977059.5933108,491644490.76988107
4.739125476950817e-17,94236088371523.9,1.3996245907635325e-16,9.355912515428153e-25,1301943545.2427099,477689798.29121625
4.877568958233531e-17,96988995463786.28,1.4405116493098003e-16,9.62922562045397e-25,1264989562.9658017,464131191.695396
5.020056771662059e-17,99822322887468.55,1.4825931363961072e-16,9.910522987117003e-25,1229084471.6420577,450957428.5973428
5.166707063806829e-17,102738419951679.66,1.5259039447143838e-16,1.0200037858656393e-24,1194198499.8594608,438157585.7125155
5.3176414326392894e-17,105739704595602.47,1.5704799862724148e-16,1.049801029201691e-24,1160302721.2289908,425721049.79966646
5.4729850283571306e-17,108828665393373.03,1.6163582221709524e-16,1.0804687356896668e-24,1127369030.3997626,413637508.8606724
5.632866657155282e-17,112007863617535.64,1.6635766932508104e-16,1.1120323340610292e-24,1095370119.75487,401896943.59011924
5.797418888027982e-17,115279935362770.0,1.712174551635141e-16,1.1445179958936014e-24,1064279456.7687645,390489619.06760764
5.96677816269081e-17,118647593731657.94,1.7621920931931419e-16,1.1779526573122153e-24,1034071262.0073187,379406076.6858627
6.141084908714308e-17,122113631084311.4,1.8136707909522546e-16,1.2123640413233868e-24,1004720487.7522458,368637126.3079236
6.320483655962115e-17,125680921353709.88,1.8666533294862957e-16,1.2477806808023611e-24,976202797.2323228,358173838.64697224
6.505123156430594e-17,129352422428675.44,1.9211836403081674e-16,1.284231942151679e-24,948494544.4440988,348007537.86244684
